0,1,2,3,4,5,6,7,8,9,10
canned beer,fish,,,,,,,,,
instant coffee,newspapers,,,,,,,,,
butter,other vegetables,,,,,,,,,
cream cheese ,margarine,dish cleaner,,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
whole milk,yogurt,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
whole milk,brown bread,,,,,,,,,
root vegetables,herbs,cereals,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
hamburger meat,salty snack,,,,,,,,,
pork,domestic eggs,,,,,,,,,
root vegetables,oil,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
white wine,whole milk,,,,,,,,,
onions,UHT-milk,,,,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
newspapers,sliced cheese,,,,,,,,,
finished products,whole milk,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
other vegetables,soda,pickled vegetables,,,,,,,,
whole milk,domestic eggs,canned vegetables,baking powder,hygiene articles,detergent,,,,,
processed cheese,mayonnaise,shopping bags,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
whole milk,other vegetables,pot plants,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
berries,shopping bags,,,,,,,,,
frankfurter,sausage,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
tropical fruit,chicken,beef,pasta,onions,long life bakery product,whole milk,jam,,,
hamburger meat,pastry,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
ham,other vegetables,,,,,,,,,
beef,pastry,,,,,,,,,
beverages,other vegetables,,,,,,,,,
house keeping products,butter milk,,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
pip fruit,candy,,,,,,,,,
coffee,soda,,,,,,,,,
sugar,candy,,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
waffles,yogurt,,,,,,,,,
seasonal products,whole milk,soda,,,,,,,,
spread cheese,frankfurter,ice cream,citrus fruit,pip fruit,cake bar,other vegetables,yogurt,rolls/buns,,
margarine,cat food,,,,,,,,,
softener,chocolate,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
newspapers,chocolate,,,,,,,,,
soda,bottled water,,,,,,,,,
pip fruit,other vegetables,cling film/bags,,,,,,,,
sausage,honey,beverages,soda,frozen dessert,whipped/sour cream,,,,,
rolls/buns,rolls/buns,,,,,,,,,
softener,dish cleaner,,,,,,,,,
bottled water,whole milk,,,,,,,,,
ice cream,beef,yogurt,canned beer,,,,,,,
sliced cheese,sugar,,,,,,,,,
beverages,whole milk,,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
pork,curd,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
semi-finished bread,waffles,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
red/blush wine,dessert,curd,rolls/buns,,,,,,,
butter,chewing gum,,,,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
citrus fruit,frankfurter,citrus fruit,bottled water,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
chocolate,whipped/sour cream,bottled beer,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
brown bread,curd,,,,,,,,,
processed cheese,dishes,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,bottled beer,misc. beverages,salt,,,,,,,
pip fruit,margarine,specialty cheese,,,,,,,,
frankfurter,coffee,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
beef,waffles,,,,,,,,,
soda,yogurt,bottled water,pot plants,,,,,,,
whole milk,bottled water,,,,,,,,,
yogurt,bottled water,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
chewing gum,sugar,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
whole milk,herbs,,,,,,,,,
bottled beer,nut snack,,,,,,,,,
other vegetables,spices,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,butter,,,,,,,,,
bottled beer,pasta,,,,,,,,,
grapes,herbs,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
soda,salty snack,,,,,,,,,
berries,white wine,,,,,,,,,
citrus fruit,other vegetables,yogurt,,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
soda,other vegetables,cream cheese ,,,,,,,,
curd,sugar,,,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
sausage,soda,cream cheese ,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
sausage,other vegetables,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
berries,other vegetables,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
packaged fruit/vegetables,pastry,,,,,,,,,
pastry,syrup,,,,,,,,,
newspapers,salty snack,,,,,,,,,
pork,brown bread,,,,,,,,,
rolls/buns,oil,,,,,,,,,
sausage,yogurt,,,,,,,,,
tropical fruit,curd,,,,,,,,,
frankfurter,other vegetables,root vegetables,other vegetables,,,,,,,
root vegetables,salt,,,,,,,,,
tropical fruit,herbs,,,,,,,,,
soft cheese,yogurt,pastry,instant coffee,,,,,,,
rolls/buns,margarine,whipped/sour cream,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
bottled water,margarine,onions,other vegetables,whole milk,,,,,,
pastry,soda,detergent,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
bottled beer,beef,domestic eggs,whipped/sour cream,shopping bags,newspapers,,,,,
other vegetables,pot plants,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
rolls/buns,beef,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
sausage,margarine,,,,,,,,,
sliced cheese,cling film/bags,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
beef,sausage,oil,candles,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
pip fruit,long life bakery product,,,,,,,,,
ice cream,chicken,rolls/buns,whole milk,,,,,,,
frankfurter,coffee,,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
hygiene articles,dessert,,,,,,,,,
chicken,whole milk,,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,roll products ,frozen vegetables,,,,,,,,
vinegar,dog food,,,,,,,,,
liqueur,whole milk,,,,,,,,,
bottled beer,canned fish,yogurt,,,,,,,,
frankfurter,other vegetables,whole milk,ready soups,brandy,,,,,,
whole milk,newspapers,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
meat spreads,chocolate,,,,,,,,,
chewing gum,other vegetables,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
beef,yogurt,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
frozen fish,specialty cheese,,,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
yogurt,white bread,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
other vegetables,frozen vegetables,whole milk,,,,,,,,
bottled water,curd,,,,,,,,,
oil,canned beer,,,,,,,,,
grapes,whole milk,,,,,,,,,
finished products,pip fruit,,,,,,,,,
brown bread,whole milk,spread cheese,butter,fruit/vegetable juice,,,,,,
sausage,sausage,rolls/buns,sweet spreads,instant coffee,fruit/vegetable juice,long life bakery product,shopping bags,,,
chicken,red/blush wine,,,,,,,,,
white bread,mustard,,,,,,,,,
yogurt,salty snack,,,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
domestic eggs,pasta,,,,,,,,,
pip fruit,detergent,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
pip fruit,pet care,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
sausage,bottled water,,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
onions,pork,,,,,,,,,
soda,chocolate,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
soda,canned beer,,,,,,,,,
white bread,butter,,,,,,,,,
shopping bags,salty snack,house keeping products,,,,,,,,
soft cheese,cream cheese ,,,,,,,,,
sugar,butter,curd,,,,,,,,
sausage,yogurt,,,,,,,,,
onions,bottled beer,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
pastry,detergent,,,,,,,,,
rolls/buns,seasonal products,other vegetables,white bread,,,,,,,
salt,domestic eggs,,,,,,,,,
chicken,margarine,,,,,,,,,
pip fruit,frozen vegetables,bottled water,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
dessert,pork,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
frankfurter,frankfurter,butter,domestic eggs,margarine,other vegetables,,,,,
pork,shopping bags,,,,,,,,,
canned fish,fruit/vegetable juice,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
hamburger meat,candy,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
pip fruit,grapes,,,,,,,,,
chocolate,dessert,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
sugar,seasonal products,,,,,,,,,
frankfurter,whole milk,shopping bags,rolls/buns,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
root vegetables,margarine,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
coffee,napkins,,,,,,,,,
white bread,make up remover,,,,,,,,,
curd,soda,ice cream,,,,,,,,
soda,seasonal products,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
other vegetables,snack products,,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
napkins,soda,,,,,,,,,
pork,bottled beer,butter,,,,,,,,
canned beer,soda,,,,,,,,,
whole milk,curd,,,,,,,,,
candy,white wine,,,,,,,,,
root vegetables,butter,specialty bar,domestic eggs,,,,,,,
canned beer,brown bread,,,,,,,,,
artif. sweetener,curd,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
waffles,chocolate,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
pastry,coffee,,,,,,,,,
yogurt,ham,,,,,,,,,
citrus fruit,hamburger meat,tea,root vegetables,sugar,shopping bags,,,,,
canned beer,berries,butter,baking powder,,,,,,,
herbs,whole milk,,,,,,,,,
coffee,pastry,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
condensed milk,onions,,,,,,,,,
ham,mayonnaise,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
rolls/buns,ice cream,,,,,,,,,
curd,whole milk,,,,,,,,,
bottled beer,brown bread,,,,,,,,,
bottled water,canned beer,,,,,,,,,
packaged fruit/vegetables,semi-finished bread,,,,,,,,,
other vegetables,coffee,,,,,,,,,
yogurt,processed cheese,,,,,,,,,
root vegetables,pastry,,,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
other vegetables,sausage,whole milk,butter milk,packaged fruit/vegetables,,,,,,
pastry,detergent,,,,,,,,,
berries,pip fruit,,,,,,,,,
pastry,bottled water,,,,,,,,,
grapes,root vegetables,shopping bags,,,,,,,,
beef,frankfurter,root vegetables,specialty fat,domestic eggs,,,,,,
beverages,other vegetables,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
pork,pip fruit,,,,,,,,,
long life bakery product,onions,,,,,,,,,
bottled beer,beverages,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
other vegetables,yogurt,,,,,,,,,
candy,frozen meals,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
margarine,frozen fruits,,,,,,,,,
pork,turkey,pot plants,whole milk,soda,dishes,,,,,
sausage,grapes,light bulbs,,,,,,,,
beef,other vegetables,,,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
beverages,whole milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,butter,,,,,,,,,
dessert,yogurt,,,,,,,,,
frankfurter,seasonal products,rolls/buns,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
hamburger meat,yogurt,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,curd,coffee,flour,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
whole milk,finished products,beef,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
sugar,pickled vegetables,fruit/vegetable juice,yogurt,,,,,,,
beef,whole milk,root vegetables,whipped/sour cream,whipped/sour cream,other vegetables,,,,,
pip fruit,hard cheese,,,,,,,,,
grapes,chocolate,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
butter,rolls/buns,,,,,,,,,
ham,whole milk,,,,,,,,,
photo/film,whole milk,,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
soda,chocolate,,,,,,,,,
yogurt,pastry,,,,,,,,,
finished products,UHT-milk,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
pork,dessert,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
whole milk,soda,soda,fruit/vegetable juice,,,,,,,
whole milk,other vegetables,,,,,,,,,
canned beer,white bread,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
cereals,whole milk,bottled water,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
sugar,shopping bags,,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
cream cheese ,whole milk,,,,,,,,,
butter milk,newspapers,,,,,,,,,
pork,pip fruit,,,,,,,,,
tropical fruit,cream cheese ,cream cheese ,,,,,,,,
citrus fruit,soda,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
beef,tropical fruit,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
herbs,vinegar,chocolate,cleaner,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sparkling wine,soda,,,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
pip fruit,herbs,frozen meals,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
syrup,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
bottled water,whisky,,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
other vegetables,liquor,whole milk,butter milk,,,,,,,
chicken,cat food,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
sausage,whole milk,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
beef,salt,,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
beef,frankfurter,canned beer,pip fruit,brown bread,frozen vegetables,newspapers,misc. beverages,,,
fruit/vegetable juice,dental care,,,,,,,,,
yogurt,roll products ,,,,,,,,,
canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
chicken,onions,white bread,,,,,,,,
packaged fruit/vegetables,canned beer,,,,,,,,,
salty snack,bottled beer,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
fruit/vegetable juice,butter,rolls/buns,,,,,,,,
packaged fruit/vegetables,herbs,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
brown bread,coffee,,,,,,,,,
curd,syrup,,,,,,,,,
soda,bottled water,,,,,,,,,
photo/film,vinegar,,,,,,,,,
canned beer,cookware,,,,,,,,,
yogurt,rolls/buns,berries,whole milk,zwieback,brown bread,newspapers,,,,
whole milk,onions,,,,,,,,,
whole milk,oil,soups,,,,,,,,
curd,photo/film,,,,,,,,,
ice cream,hygiene articles,,,,,,,,,
margarine,cereals,,,,,,,,,
frankfurter,instant coffee,root vegetables,coffee,instant coffee,sugar,rolls/buns,,,,
canned beer,frozen fish,,,,,,,,,
sausage,UHT-milk,female sanitary products,rolls/buns,,,,,,,
root vegetables,frozen dessert,oil,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
other vegetables,whole milk,light bulbs,canned beer,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
ham,instant coffee,margarine,beef,long life bakery product,whole milk,house keeping products,semi-finished bread,,,
salty snack,bottled water,,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
dish cleaner,fruit/vegetable juice,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
pip fruit,snack products,,,,,,,,,
spread cheese,pork,,,,,,,,,
meat,root vegetables,,,,,,,,,
bottled beer,specialty bar,baking powder,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
margarine,margarine,,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
onions,canned beer,,,,,,,,,
roll products ,specialty chocolate,,,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
beef,rolls/buns,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
whole milk,yogurt,,,,,,,,,
soda,soda,,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
curd,pip fruit,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
pastry,soda,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
cat food,coffee,,,,,,,,,
pip fruit,newspapers,fruit/vegetable juice,,,,,,,,
chocolate,dessert,flour,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
bottled water,bottled beer,brown bread,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
newspapers,coffee,,,,,,,,,
brown bread,whole milk,frozen vegetables,frozen meals,,,,,,,
tropical fruit,tropical fruit,soda,salty snack,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
ham,whole milk,candy,,,,,,,,
ready soups,baking powder,,,,,,,,,
ice cream,rolls/buns,bottled beer,canned beer,,,,,,,
beef,frozen vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
beef,misc. beverages,,,,,,,,,
organic products,root vegetables,,,,,,,,,
coffee,sausage,shopping bags,specialty bar,red/blush wine,,,,,,
tropical fruit,flour,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
candles,whole milk,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
berries,oil,cat food,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
tropical fruit,long life bakery product,napkins,,,,,,,,
citrus fruit,chicken,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
domestic eggs,pastry,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
ham,female sanitary products,,,,,,,,,
pip fruit,dessert,,,,,,,,,
citrus fruit,salty snack,,,,,,,,,
chocolate,sugar,coffee,,,,,,,,
margarine,citrus fruit,oil,,,,,,,,
frankfurter,berries,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
tropical fruit,other vegetables,berries,butter,,,,,,,
frozen vegetables,dishes,root vegetables,pastry,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
pastry,long life bakery product,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
canned beer,ice cream,,,,,,,,,
napkins,waffles,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,frozen meals,,,,,,,,,
newspapers,flour,,,,,,,,,
pip fruit,candles,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,yogurt,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
soda,soda,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
pastry,frozen potato products,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
dessert,white bread,salty snack,cat food,,,,,,,
meat,newspapers,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
pip fruit,soda,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
soda,mustard,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
pip fruit,other vegetables,hard cheese,sausage,rolls/buns,pip fruit,grapes,other vegetables,,,
sausage,beverages,,,,,,,,,
sausage,shopping bags,,,,,,,,,
white bread,hamburger meat,pastry,frozen meals,,,,,,,
tropical fruit,white wine,bottled beer,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
salty snack,bottled water,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
soda,bottled water,,,,,,,,,
fruit/vegetable juice,canned vegetables,,,,,,,,,
UHT-milk,root vegetables,rolls/buns,rolls/buns,spread cheese,misc. beverages,sugar,,,,
berries,other vegetables,,,,,,,,,
pork,herbs,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
rolls/buns,potato products,,,,,,,,,
pastry,whole milk,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
chicken,chocolate,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
meat,long life bakery product,yogurt,napkins,,,,,,,
whole milk,whole milk,,,,,,,,,
curd,yogurt,,,,,,,,,
hamburger meat,oil,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
soda,hard cheese,,,,,,,,,
other vegetables,white bread,,,,,,,,,
butter,rolls/buns,,,,,,,,,
butter milk,margarine,,,,,,,,,
other vegetables,whole milk,house keeping products,,,,,,,,
whole milk,root vegetables,sausage,frozen vegetables,chocolate,,,,,,
root vegetables,butter milk,,,,,,,,,
pasta,cream cheese ,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
white bread,salty snack,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
cake bar,whipped/sour cream,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
bottled water,bottled water,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
chicken,pip fruit,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
canned beer,potato products,,,,,,,,,
frankfurter,onions,,,,,,,,,
sausage,hard cheese,,,,,,,,,
soda,pastry,,,,,,,,,
canned beer,margarine,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
tropical fruit,butter,,,,,,,,,
onions,ice cream,soda,sliced cheese,,,,,,,
butter,rolls/buns,,,,,,,,,
whole milk,butter,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
UHT-milk,cream cheese ,cream cheese ,waffles,,,,,,,
herbs,whole milk,frozen dessert,,,,,,,,
sliced cheese,margarine,,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
pork,tropical fruit,,,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
onions,long life bakery product,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
soda,other vegetables,,,,,,,,,
shopping bags,newspapers,,,,,,,,,
sugar,napkins,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
dessert,newspapers,bottled water,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pork,sliced cheese,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
pork,semi-finished bread,,,,,,,,,
canned beer,curd,,,,,,,,,
canned beer,baking powder,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
whole milk,processed cheese,,,,,,,,,
butter,white bread,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
photo/film,shopping bags,,,,,,,,,
soda,pork,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
pork,bottled water,,,,,,,,,
beef,brown bread,,,,,,,,,
hard cheese,waffles,,,,,,,,,
liquor (appetizer),onions,whole milk,butter,cream cheese ,specialty cheese,,,,,
citrus fruit,cream cheese ,bottled beer,citrus fruit,,,,,,,
chicken,fruit/vegetable juice,cake bar,,,,,,,,
rolls/buns,jam,cake bar,,,,,,,,
pork,shopping bags,,,,,,,,,
waffles,shopping bags,,,,,,,,,
soda,dishes,,,,,,,,,
frozen meals,frozen vegetables,curd,,,,,,,,
root vegetables,brown bread,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
chewing gum,frozen vegetables,,,,,,,,,
